gen,Genesis
ex,Exodus
lev,Leviticus
deut,Deuteronomy
josh,Joshua
1 samuel,First Samuel
1sa,First Samuel
2 samuel,Second Samuel
2sam,Second Samuel
1 kings,First Kings
1ki,First Kings
1 chronicles,First Chronicles
1ch,First Chronicles
2 chronicles,Second Chronicles
2ch,Second Chronicles
neh,Nehemiah
ps,Psalms
pro,Proverbs
ecc,Ecclesiates
song,Song of Solomon
sos,Song of Solomon
song of songs,Song of Solomon
is,Isaiah
isa,Isaiah
jer,Jeremiah
lam,Lamentations
eze,Ezekiel
dan,Daniel
hos,Hosea
oba,Obadiah
nah,Nahum
hab,Habbakuk
zeph,Zephaniah
hag,Haggai
zech,Zechariah
mal,Malachi
mt,Matthew
mat,Matthew
matt,Matthew
mk,Mark
lk,Luke
jn,John
rom,Romans
1 corinthians,First Corinthians
1co,First Corinthians
2 corinthians,Second Corinthians
2co,Second Corinthians
gal,Galatians
eph,Ephesians
phil,Philippians
col,Colossians
1 thessalonians,First Thessalonians
1th,First Thessalonians
2 thessalonians,Second Thessalonians
2th,Second Thessalonians
1 timothy,First Timothy
1ti,First Timothy
2 timothy,Second Timothy
2ti,Second Timothy
Heb,Hebrews
Jas,James
1 Peter,First Peter
1Pe,First Peter
2 Peter,Second Peter
2Pe,Second Peter
1 John,First John
1Jo,First John
2 John,Second John
2Jo,Second John
3 John,Third John
3Jo,Third John
Rev,Revelation
